input,target,gemini_output
((3 + 3 - -4 - 2) + (-2 - -7 * -2 * 1)) =,-8,-11
((-9 - -8 + 3 * -1) * (-9 * -2 * 4 + -6)) =,-264,-144
((-1 - 9 * 6 + 3) * (0 - 8 - -4 - -4)) =,0,-276
((-9 - 8 * 9 - 0) + (-4 + 4 + -2 - 0)) =,-83,-89
((-6 - -5 - -9 - -9) * (-6 * 4 - 8 - -9)) =,-391,-378
((1 + 2 * -1 - -8) - (-8 - 2 - -1 + 6)) =,10,12
((-6 * -2 + -2 - -9) + (-9 * 3 * -1 + -1)) =,45,20
((-1 * -3 - 2 + -7) + (4 * 8 * -6 - -2)) =,-196,-203
((8 + 6 * -1 - -3) * (-5 * 0 - -7 * 1)) =,35,77
((-5 - -1 - 7 * 8) * (-1 - -4 * -7 * 2)) =,3420,-2730
((4 - 8 - -9 * 7) - (5 + -8 * 9 * -2)) =,-90,38
((-7 - -8 + 5 - -4) + (6 - -6 * 4 - 3)) =,37,20
((-3 * 4 * 3 + -5) + (-7 - 5 + 7 * -4)) =,-81,-86
((-2 - 1 - -6 + -9) - (4 * 8 + -8 * 5)) =,2,-52
((-2 * 4 - 3 - 3) - (-9 * -3 - -8 * 6)) =,-89,-28
((-4 + -6 + -6 - -9) + (-2 * -5 * 5 * 7)) =,343,311
((-5 * 5 + 1 - 4) + (9 * 0 - -7 - 3)) =,-24,-18
((1 - -8 + 0 - -3) + (-3 + -4 + 1 + 2)) =,8,8
((8 - -5 + -9 + 7) + (-9 * -1 * -6 + 4)) =,-39,-47
((0 * 3 - -9 + -1) - (-5 * -6 - 6 + 8)) =,-24,10
((-4 + -9 + -7 * 8) - (-8 + 0 * -5 + -1)) =,-60,-66
((7 + -7 * 9 * 5) - (-2 + -6 - -8 * -2)) =,-284,-320
((-4 - -8 + 2 + -8) * (-3 * 0 + 4 * 1)) =,-8,-12
((3 - 9 - 3 - 4) + (1 * -2 * -3 - -3)) =,-4,-11
((-6 * -4 + 1 + -1) * (-1 + 2 * 7 + 2)) =,360,90
((-9 * -3 - 8 - 5) + (1 * -2 - -4 * 5)) =,32,16
((3 + -6 * -2 + 7) * (-6 - -4 - -6 + 6)) =,220,-120
((-7 * 2 + -4 * -8) - (-5 * 0 * 1 * 5)) =,18,18
((-4 * 4 + -1 * 5) - (-6 + 1 - -8 - 6)) =,-18,-12
((7 - -9 + 0 - 0) + (-9 + 5 - -9 * -1)) =,3,12
((4 + 3 + -9 + -2) * (7 * 2 + 8 - 1)) =,-84,-84
((3 - 1 + -3 * -4) - (8 * 9 - -7 - -6)) =,-71,-52
((-6 * -7 * -8 - -2) + (-5 - 2 + 0 + -2)) =,-343,-329
((5 * 7 * -4 + 7) * (-5 - -6 + -8 * -5)) =,-5453,-1197
((4 - 2 * 2 + 3) + (-3 - -9 - -4 - 5)) =,8,5
((8 - 7 - -3 + -9) - (-6 * -6 + -4 * -4)) =,-57,-28
((-7 + 9 + -9 * -4) - (-7 * 6 - 7 * 3)) =,101,70
((-6 * -2 + 6 - -8) - (-2 * -4 * 8 + 5)) =,-43,39
((-1 + 5 * 4 + 9) - (-7 - 6 * -8 - 0)) =,-13,32
((-4 + -2 + -6 + -1) + (-4 * 2 + -5 * 8)) =,-61,-57
((-8 - -1 - -2 * -7) + (3 + 2 - 3 * 3)) =,-25,-30
((4 + 5 - 7 + 9) * (-1 - -4 + -7 - -5)) =,11,-36
((7 + 7 * 3 - 3) - (-3 + 4 - -6 + -3)) =,21,28
((-4 + 5 - 4 - -6) * (-3 * -1 * 2 - -4)) =,30,30
((2 + 7 - -5 - 1) - (0 - 5 - 9 + 0)) =,27,20
((4 * -4 + -6 - -2) - (9 + -7 + -8 * 6)) =,26,-67
((3 - 2 - 3 * 3) + (-8 * -1 * -9 * 3)) =,-224,-72 - 8 = -80
((-1 * -5 - -3 + -9) + (-5 - 3 * -2 - 5)) =,-5,-2
((5 * -1 - 7 * 5) - (6 - -5 * 3 * 7)) =,-151,-122
((9 - -5 - 1 + -2) * (-5 * 3 - -5 - 0)) =,-110,-231
((-8 - -3 * 5 + 4) * (2 * 7 - -3 - -1)) =,198,-133
((5 - 7 + -6 + 4) * (2 - -9 + 3 - 6)) =,-32,-72
((-5 - -1 - 6 * 0) + (-3 + 5 * 0 + 1)) =,-6,-6
((-3 - 9 - 3 - 1) + (-4 * -9 * -7 - -6)) =,-262,-317
((1 * -1 + 5 * -4) + (-2 - 5 * 4 - 5)) =,-48,-38
((-3 - -8 - -7 + -2) - (-2 - 8 + -1 - -6)) =,15,11
((-5 * -6 + 3 * -3) - (-1 + -8 * 8 * -9)) =,-554,670
((-5 - -7 - 4 - 8) - (-4 + 4 + 1 + 0)) =,-11,-10
((9 + 7 - 4 - 7) - (-5 + 6 + -1 * 0)) =,4,6
((8 * -6 + -9 + 9) * (0 - 4 - 0 - -9)) =,-240,-288
((-4 * 1 + 8 + 9) * (7 * -6 * -5 - 6)) =,2652,756
((-5 - 6 * 2 + 4) - (1 - 9 - 0 * 5)) =,-5,-12
((-7 - 1 + 3 * -2) + (0 - 4 + 6 + 1)) =,-11,-12
((7 * 2 + 4 - -6) * (6 - 7 - 7 * -2)) =,312,144
((-6 * -9 + 1 * 7) - (0 + 3 * 5 - 2)) =,48,47
((-8 - -1 + -8 + -3) * (-4 * 6 - 2 - 3)) =,522,-1170
((0 * -4 - -7 * 5) + (-4 * 0 + 6 + 0)) =,41,41
((9 * -9 + -4 * -8) - (5 * 0 + 8 - 5)) =,-52,-68
((-6 + -9 - -6 + -1) + (-8 * 5 * -6 + 7)) =,237,313
((5 + 4 + 7 - 6) - (-8 * 0 - 9 + 4)) =,15,20
((9 - 6 + -4 + -5) * (4 - -8 + -9 + 0)) =,-18,-72
((-9 * 6 - -3 * -3) + (-4 - -9 + 4 - -4)) =,-50,-48
((-8 * -8 - -5 * -6) * (3 + -9 - 5 - -1)) =,-340,-324
((0 + 3 * 4 * 9) - (4 - -5 + -4 - 4)) =,107,101
((-4 + -7 - 3 + 3) - (-3 + -2 - -3 * -3)) =,3,-27
((-7 * -2 * -1 + -9) - (-7 + 5 - 0 * -4)) =,-21,-20
((-3 + 2 * -7 * 5) * (-9 - 9 - -9 + -7)) =,1168,-2970
((1 + 0 + 2 - 4) + (-9 + 6 * -5 + 8)) =,-32,-36
((-3 + -4 * 4 + -8) + (1 - -3 + 4 - -9)) =,-10,-16
((3 * -7 * -4 * 2) + (7 - -3 - -3 * 1)) =,181,178
((-5 * -6 + -9 - 3) + (-7 - -2 - 6 * 6)) =,-23,-52
((6 - 5 + 5 + -9) - (9 + 8 * -6 * -1)) =,-60,-76
((8 * 3 - -1 - -3) * (-4 * 7 * -3 * 3)) =,7056,-5184
((5 + 3 - 6 + 1) + (-5 + 5 - 6 - 4)) =,-7,-10
((-9 + 6 + 1 - 7) * (2 - -2 + -9 + -2)) =,63,-81
((1 * 0 - -5 - 3) + (9 * 6 + -4 - 0)) =,52,68
((1 - 2 + 5 * 2) + (-2 - -7 + 3 * -8)) =,-10,-28
((5 + -7 + 1 - 5) - (-3 * -1 * 7 + -1)) =,-26,-27
((-7 * -2 + -4 + -4) - (9 * 1 * -6 * 6)) =,330,310
((1 + 0 - 3 + 0) - (-7 - 9 * 1 + -3)) =,17,16
((7 * 6 - -2 - 7) * (4 * 5 * -3 + 2)) =,-2146,-1170
((3 * -9 * 3 - 7) - (-9 + 4 * 8 + 2)) =,-113,-107
((9 + 6 - 9 + 8) * (9 - -9 * -6 + -2)) =,-658,-780
((5 * 6 + -6 - 8) * (-5 - 6 - 5 - -4)) =,-192,-660
((5 + 4 - -1 * -1) + (-6 - -7 + -1 * 6)) =,3,-1
((9 - 5 - 4 + -2) + (-9 + 1 - 1 - 9)) =,-20,-20
((6 - 9 * -6 - -9) + (3 * 3 + -5 * -9)) =,123,84
((-2 * 5 + -3 + 0) * (-9 + 2 + 5 * 4)) =,-169,-112
((5 * -3 * 3 * 7) * (0 + -9 - -5 - -2)) =,630,-1890
((8 - 3 + 0 + 7) + (-9 * -6 * 2 - 0)) =,120,145
((-2 * 9 * -8 + 8) - (0 * -4 - -6 * 4)) =,128,152
((-7 * -6 * 0 - 5) * (-3 - 9 * -8 * -9)) =,3255,-3495
((3 * 8 * -1 * -9) - (-2 + 2 * -8 * 8)) =,346,240
((-9 + 5 * 0 - -8) + (6 - -5 * -7 + -8)) =,-38,-16
((-2 - -7 - 5 * 2) + (-3 - 5 * 3 + -7)) =,-30,-32
((-9 + -7 + -1 - -1) * (3 - -7 - -1 * 0)) =,-160,-136
((-1 + 6 + 9 + 3) - (-5 - 9 - -3 + 4)) =,24,27
((-7 + 9 * 9 * 6) - (-2 - -5 + 9 + -7)) =,474,472
((-8 - -7 + 0 + 3) + (-3 + 5 - -5 * -8)) =,-36,-32
((8 - 4 - -8 - -7) + (6 - 5 - -1 - 4)) =,17,15
((-6 * 8 + -6 - -5) + (-4 - 9 * 5 - -1)) =,-97,-92
((5 * -9 - 4 - 4) - (-3 * 2 * 9 + -7)) =,8,-28
((4 * -9 * 3 * -8) + (-9 - 4 - -9 - -7)) =,867,859
((-7 - 2 - 0 + 2) * (-4 * -5 + -8 + 9)) =,-147,-70
((-1 + 7 * 7 * -9) * (4 + 3 + -8 * 4)) =,11050,-3402
((7 * 8 + 1 + 3) - (3 + -1 - -9 + -6)) =,55,60
((3 + -9 + 8 + -4) * (-4 + -6 - 4 - -8)) =,12,-28
((1 * 5 * -8 - -2) * (-2 * 6 - -5 * 3)) =,-114,-1170
((-8 - -1 * -8 * -2) * (-6 + 8 + -5 * -8)) =,336,-876
((4 - -6 + -9 + -7) - (9 + -3 - -7 * -8)) =,44,-108
((0 * -7 - 6 * 3) * (-9 + -5 - 2 * -1)) =,216,-252
((-8 * 1 * -1 + -5) + (-2 - -3 + 1 * -7)) =,-3,-12
((8 - -9 * 4 * 9) * (-4 * -3 * 7 * 9)) =,250992,-87480
((1 * -9 - 4 + -9) + (-1 + -6 + 9 - 5)) =,-25,-23
((-1 + 2 - 9 + 0) * (0 - -2 + -6 - 2)) =,48,-84
((7 * -5 * -9 + 7) - (2 + -8 * 6 * 3)) =,464,328
((-5 + -8 - -6 * 7) + (9 * -7 - -5 - -4)) =,-25,-80
((-6 * 9 - -5 + 8) * (-8 * -6 - -1 * 0)) =,-1968,-3744
((5 - -2 * 7 + -2) - (0 * 9 * -6 - -7)) =,10,-12
