input,target,llama_output
((3 + -1 * 7 * -6) - (-7 * -1 + -5 - -3)) =,40,"((3 + -1 * 7 * -6) - (-7 * -1 + -5 - -3)) 
= ((3 + -1 * -42) - (7 + -5 - -3)) 
= ((3 + 42) - (7 + -5 + 3)) 
= (45 - (7 - 5 + 3)) 
= (45 - (7 - 2)) 
= (45 - 5) 
= 40"
((3 - 3 - -3 + -2) + (8 - 2 + -8 - -6)) =,5,
((-2 + -9 - -2 * 2) - (6 * 1 * -2 * -1)) =,-19,
((-7 + -2 * 1 - 6) + (3 + 9 * 7 + -7)) =,44,
((4 + 7 * 4 - -5) - (-4 - 1 - -4 - 4)) =,42,
((1 - 6 * 0 - -7) * (6 * 0 + 6 - -3)) =,72,
((-1 + -7 + -2 - 7) * (6 - 1 - -1 * 5)) =,-170,"(-1 + -7 + -2 - 7) = -17
(6 - 1 - -1 * 5) = (6 - 1 - (-5)) = (6 - 1 + 5) = 10
(-17 * 10) = -170"
((-5 + 6 - -5 + -6) + (-4 + -6 - 3 - 7)) =,-20,-15
((0 - -1 + -1 + -3) - (-3 * 0 * 8 + 6)) =,-9,-3 + 6 = 3
((-8 + -6 * 9 - 7) + (8 + 2 * -9 * -7)) =,65,"(-8 + (-6 * 9) - 7) + (8 + (2 * (-9 * -7)))
= (-8 + (-54) - 7) + (8 + (2 * 63))
= (-8 - 54 - 7) + (8 + 126)
= (-69) + 134
= 65"
((-3 * 0 * 4 - -7) + (-9 * -6 - -8 + 1)) =,70,
((-5 - 2 + 9 * -1) * (7 - 5 + 9 * -7)) =,976,"((-5 - 2 + 9 * -1) = (-5 - 2 - 9) = -16
(7 - 5 + 9 * -7) = (7 - 5 - 63) = -61
(-16 * -61) = 976"
((5 - 7 - 8 - 6) * (-2 * -8 * -9 + 4)) =,2240,
((-5 + 1 - 2 - -3) * (-9 * 3 + 9 + -1)) =,57,
((-2 * -8 * 9 + -5) + (7 - -1 - -4 - 1)) =,150,"((-2 * -8 * 9 + -5) + (7 - -1 - -4 - 1)) = 
((-2 * -8 * 9) + -5) + (7 - -1 - -4 - 1) = 
(144 + -5) + (7 - -1 - -4 - 1) = 
139 + (7 - -1 - -4 - 1) = 
139 + (7 + 1 + 4 - 1) = 
139 + 11 = 
150"
((-2 - 5 * -5 - 6) + (-5 * -4 + 2 + -2)) =,37,
((-5 - 6 * 5 + -9) + (1 + -4 - -2 * 6)) =,-35,
((-8 + 0 * 0 * -1) - (7 + -1 + -3 * -2)) =,-20,
((-9 - -3 * 1 - -3) * (-9 - 5 - -2 * -7)) =,84,
((5 * -2 + 8 * 1) * (9 + -3 * -8 - -5)) =,-76,
((-7 * 9 - -9 + 7) + (9 * -6 * -4 * -6)) =,-1343,
((4 - 3 * -1 * 3) * (3 + 8 + 1 - 7)) =,65,"(4 - 3 * -1 * 3) = (4 - (-3)) = (4 + 3) = 7
(3 + 8 + 1 - 7) = 5
7 * 5 = 35"
((-3 - 8 * 5 + 5) - (-1 * -3 - -2 - 6)) =,-37,
((1 + 3 - -5 - 4) + (-3 - -3 + 6 * 9)) =,59,
((3 * 9 - 3 * 2) + (-1 * -7 - 1 - -9)) =,36,"((3 * 9 - 3 * 2) + (-1 * -7 - 1 - -9)) = 
(27 - 6) + (7 - 1 + 9) = 
21 + 15 = 
36"
((7 * 9 * 3 * 6) * (-8 * -6 + -9 + -5)) =,38556,"(7 * 9 * 3 * 6) = 1134, 
(-8 * -6) = 48, 
48 + (-9) = 39, 
39 + (-5) = 34, 
1134 * 34 = 38556"
((1 + 1 + -7 * -6) - (4 * 2 * -5 + -5)) =,89,
((1 + 1 * 3 - 2) * (-8 - -2 - 9 + -9)) =,-48,"((1 + 3 - 2) * (-8 - 2 - 9 - 9)) = 
(2 * -28) = 
-56"
((5 + 6 * 4 * 9) + (-9 - 0 * 3 - 1)) =,211,
((-1 - 9 + -9 * -9) - (1 + -3 - 5 - 5)) =,83,
((-1 + -6 - -4 + -6) - (-2 * -5 - -1 * 1)) =,-20,"-1 - 6 + 4 - 6 - (10 + 1) = 
-1 - 6 + 4 - 6 - 11 = 
-20"
((-2 - -7 + 5 * -3) + (2 - 8 + 5 * -7)) =,-51,
((3 - -6 - 7 + 3) + (-7 + 6 * 9 + 8)) =,60,"((3 + 6 - 7 + 3) + (-7 + 54 + 8)) = 
((3 + 6 - 7 + 3) + (55)) = 
(5 + 55) = 
60"
((-1 - -9 * 8 - -9) + (-9 - 2 * -6 + -6)) =,77,"(-1 - (-9 * 8) - (-9)) + (-9 - 2 * (-6) + (-6)) 
= (-1 - (-72) + 9) + (-9 - 2 * (-6) - 6) 
= (-1 + 72 + 9) + (-9 + 12 - 6) 
= 80 + (-3) 
= 80 - 3 
= 77"
((-5 + 6 + -6 * -1) + (-5 + -5 + 9 + -2)) =,4,"(-5 + 6 + 6) + (-5 - 5 + 9 - 2) = 
7 + (-3) = 4"
((4 + -1 + -7 + 2) - (-7 + -9 * -6 + -3)) =,-46,"((4 - 1 - 7 + 2) - (-7 - 54 - 3)) = 
((4 - 1 - 7 + 2) - (-64)) = 
(-2 - (-64)) = 
(-2 + 64) = 
62"
((8 * 9 * 0 - -1) - (-9 - -7 + -4 - 8)) =,15,
((4 + 5 * -9 * -8) - (-9 + -7 - -6 - -9)) =,365,
((-8 + 5 - 0 - 6) * (-5 * -4 - 6 + -3)) =,-99,
((-4 + -5 * 7 + 7) + (3 * -3 - -4 + 4)) =,-33,(-4 + -35 + 7) + (-9 + 4 + 4) = -32 + -1 = -33
((0 * 8 - -9 * 6) - (-3 * -9 * -1 - 7)) =,88,
((0 * 9 + -8 * 7) - (7 - 9 + 1 + 0)) =,-55,((0 * 9 + -8 * 7) - (7 - 9 + 1 + 0)) = ((0 + -56) - (-1)) = (-56 + 1) = -55
((9 * 4 - 6 - -8) + (6 - 8 - -4 * 3)) =,48,
((6 - 1 - -3 + -2) + (5 * 5 + -1 - -8)) =,38,
((-4 + 4 + 3 * 1) - (-9 - -3 + -6 - 5)) =,20,"1 + 3 = 4, -9 -(-3) = -6, -6 + (-6) = -12, -12 - 5 = -17, 4 - (-17) = 21"
((-3 - -6 - -7 + 3) + (5 * 5 * 1 - -3)) =,41,
((-8 * 4 + 7 - 5) + (9 + -6 + -2 * 5)) =,-37,
((-8 - -6 * 7 * 0) * (0 + -5 * -8 - 0)) =,-320,0
((5 * 1 * 3 - 9) * (-7 + 4 - -7 * -3)) =,-144,"((5 * 1 * 3 - 9) = (15 - 9) = 6 
(-7 + 4 - -7 * -3) = (-7 + 4 - 21) = (-24) 
6 * (-24) = -144)"
((5 - -2 * -9 + 8) - (3 - 4 * -3 - -6)) =,-26,
((7 + 1 + 9 * 1) + (7 - -3 + 3 * 1)) =,30,
((-6 + -2 * 3 * 0) + (3 + -4 - 7 - -4)) =,-10,"-6 + -2 * 3 * 0 = -6 + 0 = -6
3 + -4 - 7 - -4 = 3 - 4 - 7 + 4 = -4
-6 + (-4) = -10"
((-8 + -4 * -9 * 0) + (2 * -9 + 3 * -3)) =,-35,
((-8 + 6 - 8 * -9) - (9 - 9 * -2 + -1)) =,44,
((9 - -6 * 9 * 4) - (6 - 4 * -8 * -7)) =,443,"((9 - (-6 * 9 * 4)) - (6 - 4 * -8 * -7)) 
= ((9 - (-216)) - (6 - 224))
= ((9 + 216) - (6 - 224))
= (225 - (-218))
= 225 + 218
= 443"
((8 + 3 * -8 - -8) - (2 + 2 * -9 - 6)) =,14,
((-9 + 8 - -4 * 2) - (1 - 9 + -6 * 3)) =,33,
((-1 * -6 - -1 - -8) - (8 + -7 * 8 * -4)) =,-217,
((-3 * 6 - 0 * 6) - (-6 * -6 * 7 + -8)) =,-262,"(-18 - 0 - (-36 * 7 + -8)) 
= (-18 - 0 - (-252 + -8)) 
= (-18 - 0 - (-252 - 8)) 
= (-18 - 0 - (-260)) 
= (-18 - 0 + 260) 
= (-18 + 260) 
= 242"
((-6 - -1 - -5 * -5) + (8 + -5 - 9 * -7)) =,36,
((-9 + -4 + 0 * -1) * (4 * -3 * -8 - -4)) =,-1300,
((-2 - 2 * 2 + 0) - (7 - 6 - -7 - -1)) =,-15,
((-7 - -4 * 2 - 9) * (9 - 6 - 1 + -4)) =,16,
((-9 * 4 * -9 - -9) * (5 * 2 * 6 * -2)) =,-39960,"(-9 * 4 * -9 = 324, 324 - (-9) = 324 + 9 = 333, 5 * 2 * 6 = 60, 60 * -2 = -120, 333 * -120 = -39960)"
((-9 + -3 + 6 - 8) - (-7 * -2 * -6 + -6)) =,76,
((-7 + 5 * -6 * -6) * (7 * -5 + -6 - 7)) =,-8304,
((-8 * 0 + 2 * 2) * (-9 - 1 * -9 * 3)) =,72,"((-8 * 0 + 2 * 2) * (-9 - 1 * -9 * 3)) = 
((-8 * 0 + 2 * 2) * (-9 - 1 * -27)) = 
((-8 * 0 + 2 * 2) * (-9 + 27)) = 
((-8 * 0 + 2 * 2) * 18) = 
((0 + 2 * 2) * 18) = 
((0 + 4) * 18) = 
(4 * 18) = 
72"
((9 + 2 + 3 - -3) + (-5 + 6 - -6 - -9)) =,33,
((5 - 6 - 7 + 6) - (-1 - 1 * -7 + 9)) =,-17,
((-9 - -7 + 2 + 2) + (-7 + -9 - -1 - 0)) =,-13,
((-6 * -4 + -1 + 1) + (-9 * -6 + 7 + 9)) =,94,
((7 - 5 * 7 + -1) + (6 * 4 - 9 + -7)) =,-21,
((6 + -8 * -3 - -5) * (2 - 7 * -2 * -8)) =,-3850,
((-1 * -1 * -6 - 7) - (-4 * 0 - -4 - 9)) =,-8,"((-1 * -1 * -6) = -6)
((-6 - 7) = -13)
((-4 * 0) = 0)
((0 - -4) = 4)
((4 - 9) = -5)
((-13 - (-5)) = -13 + 5)
(-13 + 5) = -8"
((-6 + 1 - -4 * -2) + (4 - -8 - -1 - -2)) =,2,
((7 + -9 * -5 + -3) * (-8 * 8 - -5 + -5)) =,-3136,
((3 * 4 * 0 * -3) - (6 + -4 + 2 * -7)) =,12,
((2 + -6 * -7 - 7) + (-2 - -5 + -4 + -2)) =,34,"((2 + 42 - 7) + (-2 + 5 - 4 - 2)) 
= ((35) + (-3)) 
= 32"
((-3 + -4 * 5 * -7) - (-1 * -4 + -9 + 2)) =,140,
((0 + -9 * 6 * 4) + (5 - -3 + 8 * 5)) =,-168,"((0 + (-9 * 6 * 4)) + (5 - (-3) + 8 * 5))
= ((0 + (-9 * 24)) + (5 + 3 + 40))
= ((0 + (-216)) + (8 + 40))
= ((0 - 216) + 48)
= (-216 + 48)
= -168"
((-4 - -6 - -5 - 5) - (-2 + -4 - -8 + 6)) =,-6,
((-3 + -4 * 3 - -8) + (8 - 1 - -4 - -1)) =,5,
((-4 - 5 + 2 + 7) - (-9 * 6 * -1 - -3)) =,-57,
((8 + 1 + 6 + 6) - (7 - -7 - 9 - -8)) =,8,
((-9 * -5 - 5 + 7) - (-3 - 8 + 9 * -2)) =,76,"(-9 * -5 = 45)
(45 - 5 = 40)
(40 + 7 = 47)
(-3 - 8 = -11)
(-11 + 9 * -2 = -11 + -18 = -29)
(47 - (-29) = 47 + 29 = 76)

76"
((0 + 1 - -6 * 9) * (4 + 7 + -9 - 8)) =,-330,
((-1 + -6 + -3 * -2) * (-9 * -1 + 2 - 3)) =,-8,
((6 * 5 + 0 - -3) * (4 * 5 * 3 + 0)) =,1980,
((-2 * -1 + 1 * -3) - (7 * -7 + -5 * 6)) =,78,
((-1 + 5 - -1 + 3) + (0 - -3 - -5 * 0)) =,11,8
((0 - 5 + 0 + 3) * (-7 + -8 * 4 - -3)) =,72,"((0 - 5 + 0 + 3) = -2 
(-7 + -8 * 4 - -3) = -7 + -32 + 3 = -36 
-2 * -36 = 72) = 72"
((-2 - 3 - 0 - 2) * (1 - -7 - -3 + -6)) =,-35,"((-2 - 3 - 0 - 2) = -7 
(1 - -7 - -3 + -6) = 1 + 7 + 3 - 6 = 5 
-7 * 5 = -35) 

-35"
((3 + 3 - -4 - 2) + (-2 - -7 * -2 * 1)) =,-8,
((-9 - -8 + 3 * -1) * (-9 * -2 * 4 + -6)) =,-264,
((-1 - 9 * 6 + 3) * (0 - 8 - -4 - -4)) =,0,"((-1 - 54 + 3) * (0 - 8 + 4 + 4)) =
((-1 - 54 + 3) * (0 - 8 + 8)) =
((-52) * (0)) =
0"
((-9 - 8 * 9 - 0) + (-4 + 4 + -2 - 0)) =,-83,
((-6 - -5 - -9 - -9) * (-6 * 4 - 8 - -9)) =,-391,
((1 + 2 * -1 - -8) - (-8 - 2 - -1 + 6)) =,10,"((1 + 2 * -1 - -8) = (1 - 2 + 8) = 7) 
(-8 - 2 - -1 + 6) = (-8 - 2 + 1 + 6) = (-3)
(7 - (-3)) = 7 + 3 = 10"
((-6 * -2 + -2 - -9) + (-9 * 3 * -1 + -1)) =,45,((-6 * -2 = 12) + (-2 = 10) + (-9 = -9 + 10 = 1) + (-9 * 3 = -27) * -1 = 27 + (-1 = 26)) = 1 + 26 = 27
((-1 * -3 - 2 + -7) + (4 * 8 * -6 - -2)) =,-196,"(-1 * -3 = 3)
(3 - 2 = 1)
(1 + -7 = -6)
(4 * 8 = 32)
(32 * -6 = -192)
(-192 - -2 = -190)
(-6 + -190 = -196)

-196"
((8 + 6 * -1 - -3) * (-5 * 0 - -7 * 1)) =,35,"((8 + 6 * -1 - -3) = (8 - 6 + 3) = 5 
(-5 * 0 - -7 * 1) = (0 + 7) = 7 
5 * 7 = 35) = 35"
((-5 - -1 - 7 * 8) * (-1 - -4 * -7 * 2)) =,3420,"((-5 - -1 - 7 * 8) * (-1 - -4 * -7 * 2)) =
((-5 + 1 - 56) * (-1 - 56)) =
(-60 * -57) =
3420"
((4 - 8 - -9 * 7) - (5 + -8 * 9 * -2)) =,-90,"((4 - 8 - (-9 * 7)) - (5 + (-8 * 9 * -2)))
= ((4 - 8 + 63) - (5 + (-8 * 9 * -2)))
= ((4 - 8 + 63) - (5 + (-8 * -18)))
= ((4 - 8 + 63) - (5 + 144))
= (59 - 149)
= -90"
((-7 - -8 + 5 - -4) + (6 - -6 * 4 - 3)) =,37,
((-3 * 4 * 3 + -5) + (-7 - 5 + 7 * -4)) =,-81,
((-2 - 1 - -6 + -9) - (4 * 8 + -8 * 5)) =,2,
((-2 * 4 - 3 - 3) - (-9 * -3 - -8 * 6)) =,-89,
((-4 + -6 + -6 - -9) + (-2 * -5 * 5 * 7)) =,343,"(-4 + -6 + -6 - -9) = -4 - 6 - 6 + 9 = -7
(-2 * -5 * 5 * 7) = -2 * -5 * 5 * 7 = -2 * -25 * 7 = 50 * 7 = 350
-7 + 350 = 343"
((-5 * 5 + 1 - 4) + (9 * 0 - -7 - 3)) =,-24,
((1 - -8 + 0 - -3) + (-3 + -4 + 1 + 2)) =,8,
((8 - -5 + -9 + 7) + (-9 * -1 * -6 + 4)) =,-39,
((0 * 3 - -9 + -1) - (-5 * -6 - 6 + 8)) =,-24,
((-4 + -9 + -7 * 8) - (-8 + 0 * -5 + -1)) =,-60,"(-4 + -9 + -7 * 8) = -4 - 9 - 56 = -69
(-8 + 0 * -5 + -1) = -8 + 0 - 1 = -9
-69 - (-9) = -69 + 9 = -60"
((7 + -7 * 9 * 5) - (-2 + -6 - -8 * -2)) =,-284,"((7 + -7 * 9 * 5) - (-2 + -6 - -8 * -2)) = 
((7 + -7 * 45) - (-2 + -6 - 16)) = 
((7 + -315) - (-2 + -6 - 16)) = 
((7 - 315) - (-2 - 6 + 16)) = 
(-308 - 8) = 
-316"
((-4 - -8 + 2 + -8) * (-3 * 0 + 4 * 1)) =,-8,
((3 - 9 - 3 - 4) + (1 * -2 * -3 - -3)) =,-4,
((-6 * -4 + 1 + -1) * (-1 + 2 * 7 + 2)) =,360,
((-9 * -3 - 8 - 5) + (1 * -2 - -4 * 5)) =,32,"((-9 * -3) = 27, 
27 - 8 - 5 = 14, 
(1 * -2) = -2, 
(-4 * 5) = -20, 
-2 - (-20) = -2 + 20 = 18, 
14 + 18 = 32) 

32"
((3 + -6 * -2 + 7) * (-6 - -4 - -6 + 6)) =,220,"((3 + (-6 * -2) + 7) * (-6 - -4 - -6 + 6)) 
= ((3 + 12 + 7) * (-6 + 4 + 6 + 6)) 
= (22 * 10) 
= 220"
((-7 * 2 + -4 * -8) - (-5 * 0 * 1 * 5)) =,18,
((-4 * 4 + -1 * 5) - (-6 + 1 - -8 - 6)) =,-18,
((7 - -9 + 0 - 0) + (-9 + 5 - -9 * -1)) =,3,"((7 + 9) + (-9 + 5 - 9)) 
= (16 + (-4)) 
= 16 - 4 
= 12"
((4 + 3 + -9 + -2) * (7 * 2 + 8 - 1)) =,-84,
((3 - 1 + -3 * -4) - (8 * 9 - -7 - -6)) =,-71,"((3 - 1 + 12) - (72 - (-7) - (-6))) =
((2 + 12) - (72 + 7 + 6)) =
(14 - 85) =
-71"
((-6 * -7 * -8 - -2) + (-5 - 2 + 0 + -2)) =,-343,
((5 * 7 * -4 + 7) * (-5 - -6 + -8 * -5)) =,-5453,
((4 - 2 * 2 + 3) + (-3 - -9 - -4 - 5)) =,8,"((4 - 4 + 3) + (-3 + 9 + 4 - 5)) 
((0 + 3) + (1 - 5)) 
(3 + (-4)) 
-1"
((8 - 7 - -3 + -9) - (-6 * -6 + -4 * -4)) =,-57,
((-7 + 9 + -9 * -4) - (-7 * 6 - 7 * 3)) =,101,
((-6 * -2 + 6 - -8) - (-2 * -4 * 8 + 5)) =,-43,"((-6 * -2) = 12, 
12 + 6 = 18, 
18 - (-8) = 18 + 8 = 26, 
(-2 * -4) = 8, 
8 * 8 = 64, 
64 + 5 = 69, 
26 - 69 = -43) 

-43"
((-1 + 5 * 4 + 9) - (-7 - 6 * -8 - 0)) =,-13,
((-4 + -2 + -6 + -1) + (-4 * 2 + -5 * 8)) =,-61,
((-8 - -1 - -2 * -7) + (3 + 2 - 3 * 3)) =,-25,
((4 + 5 - 7 + 9) * (-1 - -4 + -7 - -5)) =,11,
((7 + 7 * 3 - 3) - (-3 + 4 - -6 + -3)) =,21,"((7 + 21 - 3) - (-3 + 4 + 6 - 3)) 
= (25 - (-3 + 4 + 6 - 3)) 
= (25 - (7 - 3 - 3)) 
= (25 - 1) 
= 24"
((-4 + 5 - 4 - -6) * (-3 * -1 * 2 - -4)) =,30,
((2 + 7 - -5 - 1) - (0 - 5 - 9 + 0)) =,27,
((4 * -4 + -6 - -2) - (9 + -7 + -8 * 6)) =,26,
((3 - 2 - 3 * 3) + (-8 * -1 * -9 * 3)) =,-224,"((3 - 2 - 3 * 3) + (-8 * -1 * -9 * 3)) = 
((3 - 2 - 9) + (-8 * -1 * -9 * 3)) = 
((3 - 2 - 9) + (8 * -9 * 3)) = 
((-8) + (-216)) = 
-224"
((-1 * -5 - -3 + -9) + (-5 - 3 * -2 - 5)) =,-5,"((-1 * -5 = 5) 
(5 - -3 = 5 + 3 = 8) 
(8 + -9 = 8 - 9 = -1) 
(-5 - 3 * -2 = -5 + 6 = 1) 
(1 - 5 = -4) 
(-1 + -4 = -5) 

-5"
((5 * -1 - 7 * 5) - (6 - -5 * 3 * 7)) =,-151,
((9 - -5 - 1 + -2) * (-5 * 3 - -5 - 0)) =,-110,
((-8 - -3 * 5 + 4) * (2 * 7 - -3 - -1)) =,198,
((5 - 7 + -6 + 4) * (2 - -9 + 3 - 6)) =,-32,"((5 - 7 + -6 + 4) = -4 
(2 - -9 + 3 - 6) = -1 
-4 * -1) = 4"
((-5 - -1 - 6 * 0) + (-3 + 5 * 0 + 1)) =,-6,
((-3 - 9 - 3 - 1) + (-4 * -9 * -7 - -6)) =,-262,
((1 * -1 + 5 * -4) + (-2 - 5 * 4 - 5)) =,-48,"((1 * -1) + (5 * -4)) = -1 - 20 = -21
(-2 - (5 * 4)) = -2 - 20 = -22
(-21) + (-22 - 5) = -21 - 27 = -48"
((-3 - -8 - -7 + -2) - (-2 - 8 + -1 - -6)) =,15,
((-5 * -6 + 3 * -3) - (-1 + -8 * 8 * -9)) =,-554,
((-5 - -7 - 4 - 8) - (-4 + 4 + 1 + 0)) =,-11,
((9 + 7 - 4 - 7) - (-5 + 6 + -1 * 0)) =,4,5
((8 * -6 + -9 + 9) * (0 - 4 - 0 - -9)) =,-240,"((8 * -6) + -9 + 9) = (-48 - 9 + 9) = -48 
(0 - 4 - 0 - -9) = (-4 + 9) = 5 
(-48 * 5) = -240"
((-4 * 1 + 8 + 9) * (7 * -6 * -5 - 6)) =,2652,
((-5 - 6 * 2 + 4) - (1 - 9 - 0 * 5)) =,-5,
((-7 - 1 + 3 * -2) + (0 - 4 + 6 + 1)) =,-11,
((7 * 2 + 4 - -6) * (6 - 7 - 7 * -2)) =,312,"((7 * 2 + 4 + 6) * (6 - 7 + 14)) = 
((14 + 4 + 6) * (-1 + 14)) = 
(24 * 13) = 
312"
((-6 * -9 + 1 * 7) - (0 + 3 * 5 - 2)) =,48,"((-6 * -9) = 54, (54 + 7) = 61, (3 * 5) = 15, (0 + 15 - 2) = 13, (61 - 13) = 48) 

48"
((-8 - -1 + -8 + -3) * (-4 * 6 - 2 - 3)) =,522,
((0 * -4 - -7 * 5) + (-4 * 0 + 6 + 0)) =,41,
((9 * -9 + -4 * -8) - (5 * 0 + 8 - 5)) =,-52,"((9 * -9) = -81, (-81 + -4 * -8) = -81 + 32 = -49, (-49 - (5 * 0 + 8 - 5)) = (-49 - (0 + 8 - 5)) = (-49 - 3) = -52) 

-52"
((-6 + -9 - -6 + -1) + (-8 * 5 * -6 + 7)) =,237,
